#sample	CD24	NBR2	CACNG3	CENPE	CENPF	FUT9	IQGAP2	TMSB15A	FAM107A	SLC38A10	SEZ6	MITD1	TMEM155	CSRP2	NKAIN2	ACSBG1	MLC1	SATB2	GABRA1	GFAP	GJA1	GLI3	TNC	APOE	KCNK1	TM4SF1	MGST1	NELL2	NUSAP1	GULP1	BACH2	RYR3	NEUROD6	MRPS5	SLA	SSRP1	TFAP2C	TOP2A	VCAM1	VIM	LRRC2	SH3TC2	FAT4	VASH2	CSRNP3	MROH9	EOMES	ADGRV1	ENC1	IFITM1
5:neurons:SRR1974660	0	0.764140	0	0	0	0.603218	0.502693	0	0.468826	0	0.530568	0	0	0	0	0	0	0	0.989362	0	0	0.095610	0	0	0.439267	0	0	0.889308	0	0.659709	0	0.734177	0	0.667250	0	0.889712	0	0	0.615675	0	0.295448	0.057164	0	0	0.874226	0	0	0.273162	0.969836	0
5:neurons:SRR1974659	0.139875	0.899352	0.933181	0	0	0.738004	0.407030	0	0.767155	0	0.421365	0.355206	0	0	0	0	0	0.095909	0.979726	0	0	0	0.133577	0.016675	0.299064	0	0	0.997121	0	0.310701	0	0	0	0.645753	0	0.799544	0	0	0	0.051883	0.744482	0	0	0.171845	0.966051	0	0	0.159069	0.993402	0
5:neurons:SRR1974658	0.565078	0	0.650006	0	0	0.406399	0.892072	0	0	0	0.247462	0	0.666453	0.628421	0	0	0	0	0.991777	0	0	0.114801	0	0	0.689451	0	0	0.906334	0	0.279134	0	0	0	0.909161	0	0.296480	0.100090	0	0	0.422973	0.260054	0	0.053386	0	0.891687	0	0.088077	0	0.979956	0
5:neurons:SRR1974657	0.241874	0	0.571287	0	0	0.134646	0	0	0.104255	0	0.964588	0	0	0	0	0	0	0	0.873679	0	0	0.228990	0	0	0	0.094675	0	0	0	0.107360	0.149313	0.864826	0	0.901559	0	0.587077	0	0	0	0	0.084302	0	0.854651	0.449590	0.370640	0	0	0	0.857162	0
5:neurons:SRR1974654	0	0.330876	0.456862	0	0	0.188778	0	0	0	0	0	0	0.751228	0	0.643355	0	0	0	0.988116	0	0	0.065878	0	0	0.526340	0	0	0.174380	0.006742	0	0	0	0	0.685179	0	0.239287	0	0	0	0	0	0.043709	0	0	0.860587	0	0	0.009256	0.784939	0
5:neurons:SRR1974655	0.267794	0.384285	0	0	0	0.384285	0.427766	0	0	0	0.802960	0	0	0.390134	0	0	0	0	0.674137	0.404722	0	0.137068	0	0	0	0	0	0	0.027202	0.977449	0.502607	0.393305	0	0.479422	0	0	0	0	0	0	0.927555	0	0	0	0.519803	0	0	0.341226	0.881607	0
5:neurons:SRR1974656	0.014182	0	0.930708	0	0	0.100181	0	0	0.357726	0	0.963994	0.454734	0	0	0	0	0	0	0.764344	0	0	0.203083	0	0.014182	0	0	0	0	0	0	0.562298	0.977853	0	0.825282	0	0.547986	0	0	0	0.792643	0.905323	0	0.296788	0	0.419376	0	0	0.866339	0	0
5:neurons:SRR1974650	0	0.143324	0	0	0	0.755540	0	0	0.972017	0	0.088423	0.660653	0.592045	0	0	0	0.403196	0.544318	0.645881	0.465980	0	0	0	0	0.923722	0	0	0.551847	0.107813	0	0.088423	0.405114	0	0	0	0.390696	0	0.071733	0	0	0	0.081818	0	0	0.586861	0	0	0.088423	0.933381	0.405682
2:astrocytes:SRR1974651	0.379775	0	0	0	0	0.806989	0	0	0.851711	0	0	0.600398	0	0	0	0.848995	0.638783	0	0	0.876335	0.991309	0	0	0.939888	0	0	0.921601	0	0	0	0.273402	0.772768	0	0.914901	0	0.256563	0	0.126018	0	0.905848	0.243165	0	0	0	0	0	0	0.993120	0	0.429748
5:neurons:SRR1974652	0.884420	0	0	0.088245	0	0	0.638976	0	0.828928	0	0	0	0	0	0	0	0	0	0.616894	0	0.636185	0.183960	0	0	0.836973	0	0	0	0	0.118043	0	0.229355	0	0.741750	0	0.835659	0	0	0	0.771630	0.142177	0.289936	0.616648	0	0.572320	0	0	0.142177	0.595222	0
2:astrocytes:SRR1974653	0	0.907155	0	0	0	0.419684	0	0	0.808806	0.498479	0	0.740875	0	0	0.094003	0.938152	0.890498	0.599942	0.027520	0.724797	0.991599	0.136008	0.159618	0.818946	0	0	0.965093	0.561848	0	0	0	0.920481	0	0.597045	0	0	0.946263	0	0	0.379345	0.306634	0	0	0	0.688586	0	0	0.964513	0	0.201622
5:neurons:SRR1974648	0.125021	0.632495	0.217966	0.768879	0.755723	0.870566	0.909096	0	0.966849	0.829169	0.883860	0.245022	0.125021	0	0.633626	0.597854	0.466242	0	0.970600	0.517734	0.283717	0.774202	0.843069	0	0	0.283717	0.017706	0.905290	0.206354	0.768879	0.842021	0.994263	0.125021	0.158117	0.750869	0.995036	0.054471	0.450466	0.125021	0.125021	0.970820	0.915495	0.667604	0.592421	0.884081	0.380578	0.604198	0.895361	0.906062	0
